City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
296,Linxia Chengguanzhen,0,CN,1612480236,71,35.6003,103.2064,24.17,0.47
297,Yakeshi,100,CN,1612480236,94,49.2833,120.7333,4.12,10.13
298,Auki,79,SB,1612480229,78,-8.7676,160.7034,82.67,8.34
299,Lubango,7,AO,1612480236,58,-14.9172,13.4925,63.09,1.48
300,Mongo,0,TD,1612480236,22,12.1844,18.693,70.27,9.57
301,Pisco,0,PE,1612480162,69,-13.7,-76.2167,75.2,19.57
302,Moba,44,CN,1612480237,82,33.2288,105.0179,30.27,4.45
303,Madang,92,PG,1612480237,80,-5.2246,145.7966,80.71,2.75
304,Saint-François,0,FR,1612480021,93,46.4154,3.9054,45.0,3.44
305,Leningradskiy,100,RU,1612480155,85,69.3833,178.4167,-26.43,11.52
306,Codrington,100,AU,1612480238,86,-38.2667,141.9667,54.1,7.58
307,Lamu,28,KE,1612480238,86,-2.2717,40.902,76.21,10.54
308,Hohen Neuendorf,94,DE,1612480238,85,52.6667,13.2833,33.01,1.99
309,Ponta Porã,54,BR,1612480239,95,-22.5361,-55.7256,69.03,6.08
310,Nukus,0,UZ,1612480239,75,42.4531,59.6103,41.0,6.91
311,Comodoro Rivadavia,0,AR,1612480212,25,-45.8667,-67.5,86.0,8.05
312,Sapa,100,PH,1612480239,82,5.1544,120.3241,80.24,9.84
313,Zarubino,19,RU,1612480239,93,42.63,131.0922,10.65,4.65
314,Novo Aripuanã,81,BR,1612480240,84,-5.1206,-60.3797,79.97,1.28
315,Kaeo,53,NZ,1612480240,57,-35.1,173.7833,72.5,5.66
316,Fortuna,1,US,1612480240,71,40.5982,-124.1573,55.0,11.5
317,Nanning,0,CN,1612480019,94,22.8167,108.3167,57.2,2.24
318,Ardmore,1,US,1612480240,30,34.1743,-97.1436,54.0,11.5
319,Katsuura,20,JP,1612480240,45,35.1333,140.3,42.01,17.27
320,Lorengau,99,PG,1612480163,79,-2.0226,147.2712,81.18,5.12
321,Nishihara,40,JP,1612480241,62,26.1842,127.7558,60.8,7.2
322,Esperance,90,AU,1612480241,72,-33.8667,121.9,57.2,3.44
323,Broken Hill,75,AU,1612480242,48,-31.95,141.4333,62.6,18.41
324,Murashi,100,RU,1612480242,97,59.3999,48.9615,16.38,5.3
325,San Jose,40,US,1612480242,31,37.3394,-121.895,62.6,9.22
326,Belyy Yar,40,RU,1612480242,85,53.6039,91.3903,8.6,2.24
327,Rosa Zarate,100,EC,1612480243,92,0.3333,-79.4667,77.11,2.57
328,Belluno,100,IT,1612480244,91,46.145,12.2214,48.0,3.09
329,Haines Junction,93,CA,1612480244,54,60.7522,-137.5108,-9.4,1.14
330,Ormara,0,PK,1612480244,38,25.2088,64.6357,67.68,6.38
331,Belfast,90,GB,1612480062,100,54.5833,-5.9333,46.0,5.75
332,Ponyri,100,RU,1612480245,100,52.3186,36.3039,33.75,9.1
333,Mizdah,93,LY,1612480245,38,31.4451,12.9801,56.61,5.08
334,Presidencia Roque Sáenz Peña,3,AR,1612480245,60,-26.7852,-60.4388,79.0,1.99
335,Lemon Tree Passage,1,AU,1612480246,65,-32.7327,152.036,81.0,10.36
336,Shimoda,0,JP,1612480246,62,34.6667,138.95,39.99,7.99
337,Huarmey,95,PE,1612480246,69,-10.0681,-78.1522,73.2,6.04
338,Great Yarmouth,90,GB,1612480246,93,52.6083,1.7305,46.4,8.05
339,Verkhnyaya Toyma,97,RU,1612480247,96,62.2349,44.9985,12.43,2.71
340,Severnoye,85,RU,1612480247,93,56.3491,78.3619,1.8,5.03
341,Gazli,99,UZ,1612480248,63,40.1333,63.45,48.81,10.74
342,Broome,1,US,1612480248,55,42.2506,-75.833,33.8,3.44
343,Mbarara,98,UG,1612480248,83,-0.608,30.65,65.89,3.4
344,Camacha,40,PT,1612480249,76,33.0833,-16.3333,53.6,16.11
345,Turan,40,VN,1612479951,78,16.0678,108.2208,73.4,4.61
346,Souillac,40,MU,1612480237,73,-20.5167,57.5167,78.8,11.5
347,Norsup,95,VU,1612480249,64,-16.0667,167.3833,83.73,3.98
348,Mashhad,0,IR,1612480026,41,36.297,59.6062,37.4,3.71
349,Parchim,75,DE,1612480250,93,53.4263,11.8488,34.0,6.91
350,Rognan,6,NO,1612480250,89,67.0953,15.3878,12.0,3.44
